Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-10-15T04:00:00.000Z,249.0153854048,251.3409547309,246.9992239099,248.8656616211,33893600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-16T04:00:00.000Z,247.7777444809,248.5662349324,244.6636846503,246.9792633057,39777000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-17T04:00:00.000Z,247.5481624373,252.8979659971,246.7995892632,251.8100280762,49147000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-20T04:00:00.000Z,255.4032084113,263.8770629877,255.1437085037,261.7411193848,90483000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-21T04:00:00.000Z,261.3817895916,264.7853058704,261.3318664387,262.2700805664,46695900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-22T04:00:00.000Z,262.1503352574,262.3499669664,254.9440691826,257.9583435059,45015300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-23T04:00:00.000Z,259.4454820835,260.1241811137,257.5191611037,259.086151123,32754900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-24T04:00:00.000Z,260.6931337606,263.6275433572,258.6869476899,262.3200378418,38253700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-27T04:00:00.000Z,264.3760982284,268.6080223224,264.1465248141,268.298614502,44888200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-28T04:00:00.000Z,268.4782600095,269.3765722049,267.6398616921,268.4882507324,41534800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-29T04:00:00.000Z,268.7677057948,270.8936584399,266.6018207192,269.186920166,51086700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-30T04:00:00.000Z,271.4725408872,273.6184749716,267.9692392249,270.8836669922,69886500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-10-31T04:00:00.000Z,276.4630533049,276.7924425808,268.6479622496,269.8556518555,86167100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-03T05:00:00.000Z,269.90556627,270.3347409275,265.7434858778,268.5381469727,50194600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-04T05:00:00.000Z,267.8195068636,270.9734988318,267.1108661194,269.5262756348,49274800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-05T05:00:00.000Z,268.098980073,271.1831284425,266.4221834256,269.6260986328,43683100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-06T05:00:00.000Z,267.380377026,272.8798740143,267.380377026,269.2567749023,51204000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-07T05:00:00.000Z,269.286715415,271.7719991064,266.2624809602,267.9592590332,48227400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-10T05:00:00.000Z,268.7085692372,273.4741297822,267.2099714284,269.1781311035,41312400,0.26,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-11T05:00:00.000Z,269.5577590597,275.6520624227,269.5477586519,274.9926757812,46208300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-12T05:00:00.000Z,274.7429239716,275.4722525277,271.4460210796,273.2143554688,48398000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-13T05:00:00.000Z,273.8537435218,276.4413491841,271.835642822,272.6948547363,49602800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-14T05:00:00.000Z,270.7965900478,275.7020034723,269.3479639094,272.1553344727,47431300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-17T05:00:00.000Z,268.5687054185,270.2371271729,265.4815977122,267.2099609375,45018300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-18T05:00:00.000Z,269.7376065336,270.456934705,265.0719890726,267.1900024414,45677300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-19T05:00:00.000Z,265.2817633126,271.9555110778,265.2517925782,268.3089294434,40424500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-20T05:00:00.000Z,270.5768036467,275.1725094768,265.6714205455,266.0010986328,45823600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-21T05:00:00.000Z,265.7013768088,273.0744516712,265.421639799,271.2361755371,59030800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-24T05:00:00.000Z,270.6467521231,276.7410558405,270.6467521231,275.6620788574,65585800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-25T05:00:00.000Z,275.0126670497,280.1179060838,274.9926967217,276.7110900879,46914200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-26T05:00:00.000Z,276.7010825487,279.2686873679,276.3714044559,277.2905273438,33431400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-11-28T05:00:00.000Z,277.0008150112,278.7391786268,275.7319827497,278.5893249512,20135600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-01T05:00:00.000Z,277.7501195745,283.15506584,275.881872572,282.835357666,46587700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-02T05:00:00.000Z,282.7354345985,287.1313151164,282.365785375,285.922454834,53669500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-03T05:00:00.000Z,285.9324708385,288.3501915351,283.0351573834,283.8843688965,43538700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-04T05:00:00.000Z,283.834406865,284.4638227693,278.3295482939,280.4375915527,43989100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-05T05:00:00.000Z,280.277743066,280.8771882481,277.7900501335,278.5193786621,47265800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-08T05:00:00.000Z,277.8699843762,279.408553185,275.8918244791,277.6302185059,38211800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-09T05:00:00.000Z,277.8999627322,279.768209664,276.6611317163,276.9208679199,32193300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-10T05:00:00.000Z,277.4903427869,279.488473068,276.1815698919,278.5193786621,33038300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-11T05:00:00.000Z,278.8390875871,279.3286197508,273.5540244422,277.7700805664,33248000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-12T05:00:00.000Z,277.6402172832,278.958990685,276.5612402657,278.0198669434,39532900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-15T05:00:00.000Z,279.8880911944,279.8880911944,272.5849275039,273.853729248,50409100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-16T05:00:00.000Z,272.5649667836,275.2424541197,271.5359308789,274.3532714844,37648600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-17T05:00:00.000Z,274.7529265192,275.9018453851,271.3860817211,271.5858764648,50138700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
